id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2CdS3DRqWR5LAhy4hM5X9W,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,4
3r0mb1tzAcCNoA8YRXuIhZ,0.582,0.817,0,-6.475,1,0.0399,0.0017,0.0158,0.575,0.622,155.124,4
0Sfj5fPqZzCq9o3f1NNphz,0.525,0.976,0,-2.023,1,0.0479,0.0662,0.000392,0.0804,0.855,138.984,4
5J7l2wE9wxqod7xIP0jyAB,0.21,0.87,5,-5.985,1,0.0606,0.000147,0.000488,0.188,0.517,168.352,4
21REQ1bCUWphT2QK3bLWYQ,0.692,0.799,1,-7.924,1,0.164,0.388,0.0,0.301,0.549,97.978,4
3LNgoqv3AboDUhnuWrrzSF,0.525,0.623,7,-6.253,0,0.0291,0.247,0.742,0.148,0.839,144.583,4
1iGzUMnwk5xeDZAnr2pE4Q,0.445,0.655,2,-7.402,0,0.0694,0.418,5.19e-06,0.0829,0.62,108.406,4
6gCdeGEhXZbAracd6B977r,0.456,0.754,6,-3.875,0,0.0298,0.195,0.485,0.292,0.521,109.825,4
1MV5BzujqyRQ417qj0rXNS,0.456,0.857,7,-5.854,1,0.0833,0.00157,0.0344,0.333,0.559,167.709,4
2XC3UsKero8x1dAgOdwhNg,0.456,0.961,7,-4.353,1,0.0772,0.000288,0.00201,0.366,0.712,76.547,4
0lywqgKF3aEuSxWNtJe2uW,0.892,0.47,0,-8.413,1,0.0368,0.75,0.0,0.0817,0.784,108.92,4
5qIOUorQ9AInP9UliORgCC,0.558,0.876,6,-5.625,1,0.0288,0.0244,0.293,0.0971,0.448,141.995,4
1KdwPeY1WRWQGHCmRJTveb,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499,4
1oA9hE3IxT8moluIvq9Uc8,0.595,0.714,7,-8.9,1,0.0277,0.00378,0.405,0.242,0.399,128.011,4
35b08f3X5XiuTV0oJHZB9g,0.18,0.915,0,-6.855,1,0.0946,0.0224,1.43e-05,0.0929,0.101,94.578,1
69Akwuscu16hdYN637eTis,0.74,0.696,7,-9.447,1,0.0298,0.524,3.12e-05,0.0752,0.426,103.04,4
3gq7dff87NNO2lJg2is0xS,0.464,0.919,1,-2.497,1,0.111,0.00315,0.000497,0.154,0.703,167.865,4
5jzma6gCzYtKB1DbEwFZKH,0.651,0.801,0,-7.34,1,0.0514,0.123,0.0,0.0825,0.776,133.769,4
73DSvDKrNsvmVhvVJGwoGF,0.525,0.922,7,-6.136,1,0.0735,0.000167,3.5e-06,0.77,0.494,142.971,4
0tTxcG6aDLIooKHpchYzyG,0.571,0.719,8,-7.193,0,0.0288,0.00274,0.000463,0.19,0.613,91.984,4
7yThIhNzpgDBIGoL2y1y6u,0.373,0.755,2,-7.574,1,0.103,0.00411,0.000799,0.0635,0.57,111.813,4
1JM1iGpu8HqprmrKi1ukuP,0.395,0.824,5,-5.659,0,0.0317,0.0516,0.395,0.206,0.514,83.422,4
14Iij6Tbd42FNrYt4gh4Xf,0.702,0.594,9,-6.401,1,0.262,0.000157,0.603,0.084,0.521,126.015,4
7srVFtzbY8ok5UFzuN0b8P,0.833,0.45,1,-9.788,1,0.0829,0.0887,0.00113,0.0873,0.432,101.775,4
20j7B6mL9gnNvG3ic6Vwh5,0.459,0.931,5,-5.024,1,0.0612,0.00126,0.00881,0.412,0.419,135.826,4
0kM9RaCDEd5QlAH0i8dINY,0.342,0.888,7,-4.404,1,0.0617,0.00116,1.18e-05,0.214,0.287,159.118,4
6uJXOi796U1D8iW9fj2ZGn,0.6,0.593,0,-9.799,1,0.0452,0.726,0.0,0.399,0.912,134.979,4
3Qmos1rUz0txhLKe2lFCLE,0.567,0.914,0,-5.969,0,0.0363,0.0106,0.0,0.125,0.667,124.005,4
6povMadfhllQTRhD4LPkAj,0.801,0.346,7,-14.296,1,0.11,0.957,0.913,0.0989,0.309,137.971,4
3Lllvxi2oA6DIwy2qhPgQx,0.604,0.594,10,-6.706,1,0.0259,0.757,0.635,0.148,0.333,109.931,4
56NkIxSZZiMpFP5ZNSxtnT,0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,4
70um118ETgSKTghQNF9iEC,0.644,0.831,11,-7.118,0,0.0334,0.138,0.424,0.115,0.252,104.996,4
6cGx4nFQpR8SaDoIUy1r67,0.415,0.355,6,-10.494,0,0.0316,0.985,0.0932,0.103,0.36,113.993,4
4xlEKYv7HmC8zXoJIbpZKM,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,4
2LMq1O0NiqGhPOlXo3McYQ,0.417,0.63,9,-7.24,1,0.0898,0.0209,0.0134,0.0543,0.341,94.214,4
6cQdZhnwKIeLud5qTD7BuQ,0.398,0.864,10,-8.199,1,0.0492,0.523,0.0,0.0985,0.782,148.47,4
1hB1x77QvlXC10hvqaBd36,0.167,0.953,7,-2.919,1,0.0694,0.0472,0.0,0.0941,0.46,145.06,4
0pZsHpKYy6BpBpez1X1dBs,0.772,0.692,11,-8.192,1,0.0513,0.00742,0.00246,0.268,0.869,126.97,4
5RKOybryugxajbMOTU9aIl,0.575,0.904,1,-3.501,0,0.0384,0.00141,0.000209,0.149,0.769,105.071,4
7ddGC67DasWO30q5YepUJe,0.472,0.826,9,-3.938,0,0.0594,0.000617,0.000713,0.187,0.132,122.326,4
1ymNYpCCZqXdGG5mpBSWJF,0.653,0.337,0,-14.722,0,0.0347,0.878,6.22e-05,0.0841,0.214,84.146,4
2dNYZepmpo2RrnytcoZTrW,0.749,0.547,9,-11.342,0,0.0471,0.147,0.866,0.109,0.101,129.002,4
38lK7SKreBMlqV0nLs0ode,0.469,0.902,10,-6.147,1,0.0651,0.00617,0.000521,0.0813,0.413,123.972,4
4xlEKYv7HmC8zXoJIbpZKM,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,4
1v98rfd0an913AzHvMNG8a,0.557,0.32,1,-10.792,0,0.0438,0.739,3.99e-05,0.112,0.377,176.647,4
27ycaQnQAxaPiyeg3nr2aB,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,4
4ovtBDG1jiIXe033VVhNgq,0.162,0.112,0,-17.167,1,0.0379,0.954,0.915,0.116,0.0504,70.04,3
45rHxi95lwLcLGx3MjQ4NW,0.603,0.946,8,-3.369,0,0.228,0.000335,0.0604,0.0936,0.3,133.986,4
7CFbskWjyQA92IvdApIIpV,0.648,0.564,9,-3.972,1,0.0322,0.216,0.0,0.0854,0.357,132.932,4
1qUgzpJVwoKPINBGbgOZAG,0.306,0.54,5,-7.196,1,0.0414,0.625,0.00454,0.152,0.147,75.382,4
4ACxa9buEUnOdYEoPcnMpi,0.815,0.605,5,-9.118,0,0.0368,0.033,0.684,0.114,0.795,102.643,4
7xNFJzDzbes1DQIP59ZQSE,0.511,0.698,7,-7.057,1,0.0413,0.0958,0.000214,0.375,0.858,170.746,4
3KEnGyuImTqe7asrYW0kUv,0.744,0.928,10,-5.628,0,0.0495,0.000409,0.624,0.132,0.507,123.014,4
67ncFJWaIbJdqZl1bpEppz,0.523,0.76,5,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267,4
37MkbRqfMdO4qlNj7C4Wfa,0.472,0.925,9,-4.57,1,0.0415,0.000305,4.44e-06,0.0755,0.746,146.97,4
4juzduULFJiZVIcrC1tkxE,0.575,0.936,10,-4.913,0,0.0512,0.000128,0.0146,0.0828,0.879,150.234,4
567iWLya4Cs4XfsWINHYjv,0.584,0.59,8,-7.479,1,0.0323,0.533,0.0334,0.0906,0.628,122.042,4
6a88fc0zSrVWGPdoj445nJ,0.724,0.603,10,-6.261,0,0.0317,0.183,0.000469,0.0948,0.569,111.493,4
5BV0OLRemswcGOPbfcG2w4,0.406,0.961,2,-3.382,0,0.157,0.000177,0.00183,0.325,0.508,186.025,4
4bnLrJD28ZmiAlQZXGhJbG,0.533,0.739,7,-9.361,1,0.0561,0.00299,3.69e-06,0.475,0.636,86.345,4
2cDN2czQq2Kwni0E05fnFG,0.455,0.841,7,-8.871,1,0.0471,0.0135,0.0241,0.0794,0.509,186.099,4
0rDOZAwa5hpOIFvej2yBIU,0.237,0.658,4,-7.813,1,0.0335,0.136,3e-05,0.142,0.267,158.351,4
